studentID,topic,attempts,timeTaken,PreviousScoreAverage,correct
0,Topic_9,3,64.78353277034076,0.32,1
0,Topic_0,3,52.60794862554858,0.4,1
0,Topic_3,1,52.122452892327786,0.43,0
0,Topic_7,3,53.58310629594982,0.39,1
0,Topic_4,2,38.81544447997062,0.37,1
0,Topic_7,1,82.30471437070801,0.39,1
0,Topic_4,3,65.63547027518509,0.46,1
0,Topic_2,2,69.96981514124778,0.47,1
0,Topic_3,3,50.46660389588041,0.52,0
0,Topic_9,3,65.59678372094127,0.51,0
0,Topic_2,2,41.68734525043467,0.49,1
0,Topic_1,1,39.09874588690944,0.48,0
0,Topic_2,3,73.22641558422916,0.43,1
0,Topic_9,2,36.25058679694669,0.51,0
0,Topic_0,1,61.28885207446222,0.52,1
0,Topic_6,3,73.31622689390036,0.53,0
0,Topic_2,2,62.60403095497207,0.51,1
0,Topic_5,2,74.63317690683539,0.57,1
0,Topic_0,1,43.14152498189945,0.55,0
0,Topic_4,1,64.44842076493455,0.46,1
0,Topic_6,2,71.76312281480908,0.38,1
0,Topic_1,2,72.32853756562835,0.53,1
0,Topic_2,1,58.29868122980409,0.57,1
0,Topic_8,3,60.285004965932245,0.46,0
0,Topic_0,1,62.85505477447751,0.49,1
0,Topic_9,2,52.47364434623195,0.51,0
0,Topic_9,2,55.25751154785341,0.5,0
0,Topic_2,1,54.60332782062019,0.53,1
0,Topic_2,2,54.48261413800858,0.48,1
0,Topic_8,2,44.71390821947895,0.48,1
0,Topic_1,3,53.69032015851961,0.52,1
0,Topic_4,1,52.29318762737631,0.56,1
0,Topic_8,2,59.58935331622262,0.53,0
0,Topic_7,1,66.86123473078715,0.57,1
0,Topic_2,3,65.17353502567093,0.57,1
0,Topic_6,2,64.52321013500419,0.68,1
0,Topic_8,3,30.90133172095135,0.55,0
0,Topic_5,3,71.59711283833873,0.61,0
0,Topic_1,2,59.671786884918525,0.54,1
0,Topic_7,1,51.50553405595842,0.54,0
0,Topic_9,2,49.765476541195916,0.63,1
0,Topic_4,1,41.6568969498704,0.64,0
0,Topic_2,1,57.58593934705405,0.57,0
0,Topic_1,3,70.15779098373149,0.66,0
0,Topic_8,2,41.53703525349067,0.53,0
0,Topic_9,1,61.78467737843978,0.55,1
0,Topic_8,3,77.8609088417046,0.63,0
0,Topic_2,2,61.58645470541641,0.6,0
0,Topic_9,2,63.48380545741505,0.55,0
0,Topic_2,1,77.52946865175801,0.74,0
1,Topic_0,1,71.01751597320069,0.54,1
1,Topic_6,3,53.062097096973716,0.55,0
1,Topic_5,3,66.2717778293338,0.52,1
1,Topic_9,2,46.65728355561715,0.59,0
1,Topic_2,3,73.65768327742002,0.64,0
